NAMA SATUAN PENDIDIKAN;BAHASA INDONESIA;BAHASA INGGRIS;MATEMATIKA;FISIKA;KIMIA;BIOLOGI;
SMA NARADA;81,38;92,15;74,42;76,88;78,75;78,57;
SMA BINA KUSUMA MULIA;82,67;87,73;53,17;55,83;71,31;65,56;
SMA SPRINGFIELD;78,55;93,09;76,36;65,83;83,75;78,33;
SMA KRISTEN KASIH KEMULIAAN;84,18;87,82;70,04;65,75;76,25;69,09;
SMA RAFFLES CHRISTIAN SCHOOL KEBUN JERUK;72,4;88,4;49;52,5;68,08;65;
SMA NATIONALHIGH JAKARTA SCHOOL;64;96;52,5;52,5;66,25;66,25;
SMA KRISTEN TUNAS BANGSA JAKARTA BARAT;81,75;95;77,19;94,38;70;65;
SMA KAIROS GRACIA;81,52;93,81;69,17;50,36;73,04;77,5;
SMA KASIH IMMANUEL;72,67;67,67;41,67;57,07;57,07;46,25;
SMA MAKARIOS;80,67;86,67;40,63;55;43;57;
SMA MENTARI GRAND SURYA;87,73;92,8;60,5;85;78,47;70,96;
SMA ISLAM TERPADU ALMAKA;72,73;60,73;35,91;52,94;37,5;43,82;
SMA NEGERI 29;84,18;81,82;51,14;59,69;67,28;60,48;
SMA NEGERI 32;82,44;71,26;47,34;52,67;50;63,29;
SMA NEGERI 47;87,3;86,85;73,78;74,72;75,09;77,9;
SMA NEGERI 74;79,89;71,19;46,71;53,16;52,5;62,46;
SMA NEGERI 108;79,52;63;40,58;46,76;52,69;52,81;
SMA HANG TUAH I;72,27;56,99;36,92;40,3;42,27;48,23;
SMA ISLAM HARAPAN IBU;75,79;76,21;43,03;35;43,75;64,33;
SMA MUHAMMADIYAH 18;72,33;58,58;36,41;37,5;45,63;47,5;
SMAK TIRTA MARTA BPK PENABUR;83,78;90,67;62,22;80,63;74;67,87;
SMA NEGERI 63;83,26;78,66;52,78;58,5;62,88;66,79;
SMA NEGERI 86;80,76;74,39;44,68;50,17;61,32;58,41;
SMA NEGERI 87;83,41;79,5;51,16;62,85;72,5;61,52;
SMA NEGERI 90;84,56;81,4;61,65;66,75;66,76;69,3;
SMA KARTIKA X -1;72,06;60,25;36,81;35,83;60,42;50,69;
SMA NEGERI 34;89,44;90,02;77,05;82,43;83,1;80,36;
SMA NEGERI 66;85,5;83,59;58,2;63,18;65,89;72,93;
SMA ISLAM AL-IZHAR PONDOK LABU;82,79;90,69;55,58;52,18;60,76;72,06;
SMA BAKTI IDHATA;75,93;60,9;36,88;39;46,67;59,02;
SMA CENDRAWASIH;75,73;62,59;35,2;46,67;59,17;53,9;
SMA CHARITAS;82,89;83,57;52,87;55,4;59,69;66,43;
SMA DARUL MAARIF;70,29;54,71;35;52,32;52,32;49,29;
SMA KELUARGA WIDURI;75,96;60,88;33,75;33,93;39,72;49,69;
SMA PGRI 3;75,61;56,47;36,01;38,55;43,83;48,03;
SMA SERUNI DON BOSCO;78,44;89;50,42;56,56;60;74,69;
SMA NEGERI  6;83,87;85,1;55,62;59,67;55,78;67,78;
SMA NEGERI 46;81,85;71,68;44,84;46,42;57,12;58,85;
SMA NEGERI 70;84,59;89,16;58,42;55,71;64,15;70,76;
SMA NEGERI 82;80,98;81,26;46,57;54,06;46,75;57,89;
SMA DHARMA KARYA;74,71;60,68;35,99;40,14;37,5;49,03;
SMA GITA KIRTTI 3;73,56;56,4;31,67;34,81;37,5;49,58;
SMA ISLAM AL KHOLIDIN;65;40,75;30,63;30;44,41;42,86;
SMA ISLAM AL-AZHAR 1;85,92;91,25;73,56;87,86;70,47;78,81;
SMA MUHAMMADIYAH 3;73,4;64,75;35,5;36,25;36,67;48,75;
SMA PANGUDI LUHUR;79,91;81,07;40;56,5;43,93;52,81;
SMA PSKD IV;74,4;64,93;35,5;39,38;46;55,42;
SMA TARAKANITA 1;84,88;84,53;58,09;63,86;71,67;71,91;
SMA TRIGUNA;73;56,53;34,41;39,17;40,94;45;
SMA NEGERI 3;83,5;84,65;54,86;52,14;67,34;65,2;
SMA NEGERI 8;87,52;91,72;83,99;81,54;84,46;84,73;
SMA NEGERI 26;85,94;87,87;64,86;60,79;77,05;71,75;
SMA NEGERI 37;83,73;76,77;49,14;65,09;68,33;62,93;
SMA NEGERI 43;80,87;75,15;46,88;49,2;56,48;60,33;
SMA NEGERI 79;80,25;68,38;42,5;46,55;54,34;55,92;
SMA 17 AGUSTUS 1945;64,98;55,6;31,61;37,81;39,44;43,13;
SMA ISLAM AS-SYAFIIYAH 01;70;48,88;32,85;39,17;43;45,34;
SMA ASISI;78;82,4;43,83;42,08;55;60,5;
SMA DEWI SARTIKA;73,06;56,24;36,91;33,5;37,5;50,25;
SMA MUHAMMADIYAH 5;71,97;59,42;35,49;34,89;44,72;46,54;
SMA YASPORBI;74,71;79,65;42,79;40;61,79;54,17;
SMA YMIK II;66,81;48,68;31,7;41,07;37,81;41,25;
SMA NEGERI 60;83,42;77,69;52,48;60,92;62,5;63,21;
SMA 28 OKTOBER 1928;75,14;52;36,25;52,15;47,5;44,25;
SMA NEGERI 28;87,82;90,7;76,47;84,18;86,3;81,17;
SMA NEGERI 38;85,6;87,18;66,37;70,24;73,42;75,36;
SMA NEGERI 49;86,1;82,65;60,85;66,02;66,11;69,11;
SMA NEGERI 55;84,25;84,9;65,78;62,5;70,17;75,12;
SMA NEGERI 97;83,7;78,72;51,3;53,64;63,08;63,93;
SMA NEGERI 109;85;78,18;59,19;67,7;58,25;69,32;
SMA NEGERI RAGUNAN;61,76;52,53;34,26;49;49;47,43;
SMA BOROBUDUR;77,67;68,33;35;41,88;55,88;43,75;
SMA BUNDA KANDUNG;72,17;47,44;35,28;45;43,75;48,02;
SMA FATAHILLAH;71,5;48,7;37,5;40;48,33;47,97;
SMA GONZAGA;84,74;90,21;67,36;73,22;79,35;80,56;
SMA ISLAM AL-AZHAR 2;79,49;78,95;43,91;46,5;45,83;61,97;
SMA KEMALA BHAYANGKARI 1;74,53;59,89;39,54;41,04;47,64;48,09;
SMA KARTIKA VIII-1;74,07;57,69;37,29;40,54;45,96;49,3;
SMA KHARISMAWITA;74,6;53,4;34,5;45;39,38;59;
SMA PERGURUAN CIKINI;70,92;60,69;33,56;36,67;36,67;46,25;
SMA PERGURUAN RAKYAT 1;73,45;55,27;36,29;32,86;51,09;52,29;
SMA SULUH;81,07;65,23;47,1;55,19;45;62,07;
SMA SUMBANGSIH;75,05;71,1;41,61;51,5;40,54;57,22;
SMA YAPERJASA;73,16;52,71;30,81;31;35;49,69;
SMA ISLAM AL-AZHAR 3;81,04;86,87;49,59;59;63,61;63,03;
SMA BAKTI MULYA 400;77,45;79,39;43,11;47,5;44,46;49,44;
SMA LABSCHOOL KEBAYORAN;87,27;92,43;86,65;86,81;82,69;85,71;
SMA CITA BUANA;75,33;91,6;54;70;62,5;68,61;
SMA BINA NUSANTARA;69,89;91,94;52,5;50,23;55;67,14;
SMA AVICENNA JAGAKARSA;81,5;81,42;48,54;55;65,63;72,32;
SMA DARUNNAJAH;75,76;64,89;35,78;39,06;44,03;54,48;
SMA INTERNATIONAL ISLAM HIGH SCHOOL;78,05;77,79;40,26;46,35;55,83;51,63;
SMA HIGH SCOPE INDONESIA;79,32;90,84;52,04;51,05;49,38;61,33;
SMA LENTERA INDONESIA;72,29;88,86;59,29;54,38;70,65;72,5;
SMA GARUDA CENDEKIA;84,64;89,18;55,91;49,04;41,67;73,75;
RAFFLES CHRISTIAN SCHOOL;73,06;92,47;52,79;46,88;47,5;76,67;
SMA MENTARI INTERCULTURAL SCHOOL JAKARTA;77,33;93,22;48,89;50;50,83;66;
SMA AUSTRALIAN INDEPENDENT SCHOOL;52;80,5;35;40;51,72;38,75;
SMA JAKARTA INTERCULTURAL SCHOOL;49,44;87;47,36;44,5;20;55,71;
SMA ISLAM AL JABR;84,36;87,45;63,64;56,25;75;66,25;
MA NEGERI 4 JAKARTA;81,44;77,9;52,81;58,52;65,97;65,57;
MA ANNAJAH;73,2;63,66;41,64;37,81;45,31;48,03;
MA MANARATUL ISLAM;69,71;51,33;32,9;33,06;42,81;45,42;
MA NEGERI 7 JAKARTA;81,96;67,08;48,39;52,5;53,13;65,93;
MA SAADATUDDARAIN;66,57;50,8;35,86;36,88;42,5;47,92;
MA NURUSSAADAH;71,8;52,8;34,63;37,5;59,17;45;
MA NEGERI 11 JAKARTA;80,06;61,83;39,3;43,59;55,91;58,3;
MA AL-KHAIRIYAH JAKARTA SELATAN;67,03;51,13;32,63;37,5;32,5;44,31;
MA AS-SYAFIIYAH 01;67,76;48,12;32,27;48,69;48,69;46,59;
MA MIFTAHUL UMAM;67,78;49,78;34,72;32,5;42,5;40,45;
MA NEGERI 13 JAKARTA;81,34;73,4;45,95;49,69;59,38;61,53;
MA.PEMBANGUNAN UIN;81,11;79,91;44,67;57,5;51,88;64,06;
MA NEGERI 19 JAKARTA;80,36;71,81;45,88;43,91;67,84;59,64;
MA CITRA CENDEKIA;79,86;70,71;46,61;47,08;50;60;
SMA PELITA HARAPAN KEMANG;60,25;88,5;44,06;35,83;50;55;
SMA ACG SCHOOL JAKARTA;52,67;95,33;38,33;37,5;56,59;45;
D ROYAL MOROCO INTERNATIONAL ISLAMIC SCHOOL;70;88;55;62;35;62;
SMA HERITAGE SCHOOL JAKARTA;68;90;47,5;66,38;66,38;60;
SMA SAMPOERNA;84,58;86,76;63,46;67,81;66,92;74,22;
SMA NEGERI  39;85,56;85,35;70,87;90,11;75,37;73,28;
SMA NEGERI  58;84,99;78,97;57,92;55,29;68,35;72,46;
SMA NEGERI  88;80,87;71,55;48,06;52,14;55,83;68,24;
SMA NEGERI  98;83,71;82,22;59,51;58,01;63,93;67,63;
SMA NEGERI  99;86,74;84,11;60,93;63,36;61,38;76,09;
SMA NEGERI 104;83,01;76,21;49,5;47,5;54,07;64,78;
SMA NEGERI 105;83,39;76,67;58,92;56,97;67,44;64,9;
SMA NEGERI 106;81,11;73,41;49,84;60,91;61,67;68,63;
SMA ISLAM AL MARUF;69,82;57,45;34,09;35,25;40,56;47,1;
SMA BINA DHARMA;75,76;59,04;37,3;38,93;41,5;55,34;
SMA BUDHI WARMAN II;73,24;55,36;35,95;36,09;55,83;51,4;
SMA IGNATIUS SLAMET RIYADI;77,7;67,63;43,8;59,38;41,25;49,17;
SMA MALAHAYATI;78,03;59,05;40,16;43,33;52,5;51,96;
SMA PANGUDI RAHAYU;71,33;45,5;32,5;49,78;55;48,06;
SMA ISLAM PB SOEDIRMAN;75,35;67,64;40,61;40;54,86;56,15;
SMA PKP DKI JAKARTA;75;67,23;35,03;42,36;45,68;51,82;
SMA TELADAN  I;74,35;52,09;36,09;35;39;47,5;
SMA WIDYA MANGGALA;70,41;60,46;34,49;36,7;41,5;49,26;
SMA WIJAYA KUSUMA;73,06;48,97;35,38;38,38;47,25;48,72;
SMA NEGERI 14;86,93;87,59;71,03;64,92;75,97;77,12;
SMA NEGERI 51;81,38;70,52;50,07;50,08;62,75;58,38;
SMA NEGERI 62;86,02;83,74;61,07;65,5;63,33;83,51;
SMA NEGERI 93;80,57;73,63;49,67;50;58,56;59,96;
SMA ADI LUHUR;71,5;55,93;34,17;37,92;41,25;47,61;
SMA BUDHI WARMAN I;70,3;54,92;33,84;34,77;42,5;48,97;
SMA TRAMPIL II;64,5;40,38;30,78;43,68;43,68;39,06;
SMA TRISOKO;68,82;54,47;33,24;37,5;42,12;51,07;
SMA NEGERI 9;82,22;74,7;51,78;55,82;56,04;67,24;
SMA NEGERI 42;81,82;79,07;50,21;61,99;59,38;65,95;
SMA NEGERI 48;87,83;87,77;71,13;80,27;75,98;76,53;
SMA NEGERI 64;82,75;74,6;49,74;50;58,17;59,51;
SMA NEGERI 67;85,49;84,6;65,17;69,12;76,44;74,31;
SMA NEGERI 81;88,35;90,31;78,5;83,79;85,26;80,59;
SMA NEGERI 113;83,78;76,02;53,45;62,92;61,97;74,32;
SMA ANGKASA 1;73,12;61,68;34,84;37,56;45,63;52,16;
SMA PGRI 4;71,21;48,79;35,95;37,78;39,61;47,03;
SMA SANTIKA;62,52;49,33;31,76;31,07;26,25;41,94;
SMA USWATUN HASANAH;69,66;52,17;35,14;35,74;36,07;48,86;
SMA MUHAMMADIYAH 4;72,64;60,07;34,35;33,33;45,68;52,71;
SMA NEGERI 12;85,76;84,92;63,6;68,79;75,21;71,4;
SMA NEGERI 44;83,89;79,74;54,51;52,13;65,19;72,76;
SMA NEGERI 50;82,02;73,05;45,05;42,93;55,15;66,25;
SMA NEGERI 53;82,55;78,35;55,81;61,38;58,88;68,75;
SMA NEGERI 54;85,72;82,45;61,39;65,98;68,49;67,11;
SMA NEGERI 59;82,7;75,85;48,99;57,5;58,21;66,51;
SMA NEGERI 61;88,15;90,88;72,85;80,42;83,14;81,36;
SMA NEGERI 71;86,1;86,17;68,3;65,96;75,17;74,01;
SMA NEGERI 91;84,36;81,67;56,11;60,34;61,95;68,92;
SMA NEGERI 100;78,61;69,43;40,81;42;53,65;56,79;
SMA NEGERI 103;85,74;81,81;63,36;58,81;73,53;75,95;
SMA BPS & K  I;70,43;55,2;33,92;34,85;40,83;48,85;
SMA BUDAYA;68,71;52,44;33,33;50,03;50,03;45,61;
SMA BUDHAYA II SANTO AGUSTINUS;72,45;61,7;34,69;39,38;51,67;47,27;
SMA BUDI MULIA UTAMA;69,36;49,14;30,8;41,67;39,5;47;
SMA CAHAYA SAKTI;81,12;78,24;44,5;51,56;46,88;57,5;
SMA I CAWANG BARU;69,66;55,83;34,36;40,42;47,5;44,02;
SMA CORPATARIN;79,17;62,33;33,96;35,83;35;48,93;
SMA KAPIN;66,11;48,53;32,5;51,67;40;44,32;
SMA MUHAMMADIYAH 23;69,94;56,13;34,72;38,61;39,38;49,21;
SMA PERGURUAN RAKYAT  2;77,41;60,1;38,35;47,5;48,85;50,3;
SMA PGRI 1;66,71;48,29;32,14;32,5;48,4;47,5;
SMA PUSAKA  1;73,09;58,45;35,82;36,92;40,71;49,07;
SMA SANTO ANTONIUS;77,73;69,69;40,39;39,44;50,83;46,94;
SMA KARYA ENAM-ENAM;63,58;43,33;32,6;32,5;36,67;41,79;
SMA NEGERI 21;86,13;88,57;70,07;77,2;74,88;76,81;
SMA NEGERI 22;79,79;71,89;47,29;52,22;52,88;59,89;
SMA NEGERI 31;84,91;82,88;55,14;62,2;62,91;66,61;
SMA NEGERI 36;80,12;74,74;44,54;48,36;62,78;61;
SMA NEGERI 76;78,46;61,87;39,1;46,35;48,13;53,06;
SMA NEGERI 89;85,67;79,3;62,2;68,03;66,16;69,85;
SMA NEGERI 102;79,45;64,9;46,66;41,89;59,21;56,52;
SMA NEGERI 107;79,46;64,98;42,71;43,07;54,75;56,17;
SMA AL GHURABAA;67,47;53,47;31,83;43,75;30;44,79;
SMA BINA PANGUDI LUHUR;71,03;48,19;35,65;40;36,5;45,79;
SMA DIPONEGORO 1;74,44;69,75;37,59;37,92;41,07;47,93;
SMA DIPONEGORO 2;68,87;45,13;33,33;40,31;46,67;47,24;
SMA DON BOSCO II;82,5;87,85;65,77;70,91;65,07;75,43;
SMA FONS VITAE I;83,53;82,51;50,55;52,08;60,13;69,95;
SMA FRANSISKUS 2;69,5;60,13;39,84;35,63;60;44,77;
SMA LABSCHOOL JAKARTA;85,91;89,93;66,24;81,67;71,53;81,63;
SMA 2 PSKD;71,75;64,25;34,38;40;42,5;66,25;
SMA MUHAMMADIYAH 11;71,81;56,65;31,88;32,22;48,75;47,68;
SMA MUHAMMADIYAH 12;72,63;56,92;32,1;38,57;42,97;46,52;
SMA NURUL HUDA;55,67;51,5;28,54;43,67;43,67;38,96;
SMA PELITA TIGA NO.3;71,13;52,53;34,17;43,75;51,67;50,88;
SMA TUNAS MARKATIN;67,73;45,73;31,67;48,41;48,41;48,5;
SMA YP IPPI;72,16;54,05;31,38;32;38,41;45,29;
SMA NEGERI 11;82,69;68,89;43,98;47,71;69,5;63,02;
SMA ANGKASA 2;72,69;62,15;41,13;46,96;50;55;
SMA SANTO YOSEPH;78,44;74;48,75;54,71;57,75;57,61;
SMA PGRI 24;67,28;47,22;34,93;33,13;41,25;43,58;
SMA KRISTEN 7 BPK PENABUR;86,93;90,11;73,7;90,76;77,61;80,05;
SMA GLOBAL ISLAMIC SCHOOL;79,78;79,07;43,28;52,08;53,21;57,88;
SMA NAHDLATUL WATHAN;65,3;47,6;31,13;30,63;40;45;
SMA PERGURUAN RAKYAT 3;74,14;53,64;34,15;43,13;41,73;53,7;
SMA AL-FALAH;86;91,6;56,5;37,5;80;61,67;
SMA ACS JAKARTA;67,78;93,48;60,56;57,22;68,75;64,06;
SMA SEVILLA;77,79;91,16;60,13;85,83;80;64,42;
SMA IT AL-HALIMIYAH;74,33;63,6;37,58;36,67;48,75;55,75;
SMA CHARTAR BUANA;70,76;53,38;33,73;35;38,75;48,24;
SMA JAKARTA ISLAMIC SCHOOL;76,94;82,17;47,64;50,77;58,75;60,58;
SMA NEGERI UNGGULAN MOHAMMAD HUSNI THAMRIN;88,42;93,14;93,18;96,11;89,85;89,56;
SMA TARUNA PERSADA;57,63;46,25;29,38;43,24;43,24;39,69;
SMA PERGURUAN ADVENT XV;78,23;69,92;47,31;46,67;53,33;49,38;
SMA HIGHFIELD;84,4;93,4;80,5;81;76,88;85;
SMA EMIISC JAKARTA;75,47;70,4;39;44,64;75;53,33;
SMA CIKAL AMRI;76;92;61,25;100;67,5;55;
SMAIT BUAHATI ISLAMIC SCHOOL;83,16;82;53,95;62,08;63,06;73,75;
MA NEGERI 2 JAKARTA;77,44;63,21;42,28;55,42;50,83;54,72;
MA PERSIS 69;73,67;62;37,08;35;49,17;47,5;
MA AL KENANIYAH;72,93;49,47;34,58;43,93;50,04;42,93;
MA NEGERI 6 JAKARTA;74,76;59,11;36,71;45,28;46,86;51,85;
MA NEGERI 8 JAKARTA;80,53;65,93;43,69;45,24;56,13;59,63;
MA AL WATHONIYAH 5;64,93;45,07;33,67;47,54;47,54;46,5;
MA NEGERI 9 JAKARTA;79,27;65,93;40,6;45,08;50,19;58,04;
MA AL FALAH KLENDER;70,21;49,05;33,29;34,17;37,5;44,62;
MA NEGERI 18 JAKARTA;78,9;64,85;42,67;46,61;52,25;51,9;
MA NEGERI 14 JAKARTA;80,34;66,76;41,84;48,08;50,56;58,96;
MA AL HAMID;75,75;58,88;36,91;36,43;41,61;54,48;
MA NEGERI 15 JAKARTA;78,97;58,68;38,76;47,36;46,36;51,67;
MA NEGERI 20 JAKARTA;74,32;50,54;34,42;41,94;42,14;49,02;
MAS KAFILA;83,33;80,53;59,67;80;68,13;70,83;
SMA ISLAM AL AZHAR 19 JAKARTA;79,95;78;48,01;55;61,5;58,25;
;;;;;;;
